番号,106,
名前,塔罗,
呼び名,塔罗,
基礎,0,1800
基礎,1,1400
能力,1,1
能力,3,1
経験,3,10
経験,4,5
経験,10,15


;胆怯
素質,10,
;自卑
素質,17,
;无动于衷
素質,21,
;性保守
素質,24,
;悲观
素質,26,
;难以越过的底线
素質,27,
;害羞
素質,35,

;TALENT:大人 = 1
;TALENT:大叔 = 1
;TALENT:喜欢读书 = 1
素質,315,
素質,317,
素質,332,

;男性、童贞、后庭处子をまとめて
素質,140,
素質,161,

;简介
CSTR,91,懦弱消极，胡子邋遢的大叔，勤勤恳恳的社畜，年近四十仍是单身。
CSTR,92,每天早上都会和邻居问好，笑起来很温和。
CSTR,93,语速很慢，对年幼的孩子会忍不住心软。
CSTR,94,不擅长处理冲突，总是叹口气默默忍耐。
CSTR,95,没什么兴趣爱好，因此被相亲对象评价无聊，
CSTR,96,不过他自己觉得这样生活下去也挺好的。

;其他
CSTR,0,我
CSTR,1,你
CSTR,2,你
CSTR,3,主人
CSTR,5,塔罗
CSTR,10,Ｄ